,filename,label
33991,c17683.png,6
5911,a06538.png,6
2975,a03286.png,3
26519,c09421.png,2
35290,c19136.png,9
6097,a06739.png,5
32740,c16305.png,8
18716,c00756.png,3
21959,c04370.png,1
12019,a13361.png,1
6869,a07603.png,9
29427,c12634.png,8
9948,a11056.png,3
15534,a17282.png,0
18580,c00602.png,5
3075,a03399.png,8
27568,c10581.png,1
6926,a07668.png,9
12164,a13525.png,0
14788,a16434.png,8
39800,c24161.png,8
23704,c06303.png,0
36744,c20764.png,6
3928,a04337.png,4
13056,a14528.png,2
6990,a07748.png,5
22611,c05094.png,6
25863,c08691.png,3
11613,a12890.png,2
23011,c05536.png,9
11373,a12624.png,9
27042,c10001.png,7
14405,a16009.png,7
20563,c02833.png,2
30218,c13505.png,3
833,a00912.png,1
25044,c07780.png,9
30802,c14167.png,1
30291,c13589.png,7
3356,a03698.png,2
15412,a17142.png,8
3978,a04394.png,0
11058,a12286.png,6
35558,c19438.png,4
5077,a05608.png,5
9984,a11099.png,8
1346,a01482.png,1
9760,a10848.png,2
4671,a05158.png,3
19014,c01091.png,2
31783,c15255.png,2
17768,b00069.png,3
34377,c18110.png,8
7849,a08697.png,8
1653,a01827.png,6
30505,c13824.png,1
11173,a12409.png,0
2376,a02621.png,7
24087,c06719.png,7
6555,a07255.png,4
13342,a14848.png,9
34420,c18159.png,3
33198,c16803.png,5
4799,a05301.png,8
27548,c10557.png,1
14565,a16192.png,2
24408,c07069.png,1
4972,a05495.png,6
30346,c13649.png,2
19691,c01851.png,9
30513,c13833.png,1
11724,a13015.png,8
5698,a06301.png,5
16773,a18675.png,2
26346,c09229.png,1
27564,c10576.png,1
17125,a19061.png,9
14511,a16130.png,2
10082,a11212.png,9
21020,c03345.png,8
32016,c15507.png,4
35942,c19869.png,7
31510,c14951.png,5
13067,a14541.png,1
34972,c18782.png,7
17577,a19564.png,3
12884,a14326.png,1
15982,a17784.png,2
9966,a11078.png,1
2246,a02474.png,8
27652,c10672.png,2
