filename,digit
a00000.png,5
a00001.png,3
a00002.png,1
a00003.png,7
a00004.png,0
a00005.png,4
a00006.png,3
a00007.png,0
a00008.png,4
a00009.png,9
a00010.png,7
a00011.png,3
a00012.png,5
a00013.png,8
a00014.png,1
a00015.png,2
a00016.png,1
a00017.png,6
a00018.png,4
a00019.png,0
a00020.png,1
a00021.png,9
a00022.png,6
a00023.png,5
a00024.png,7
a00025.png,7
a00026.png,7
a00027.png,6
a00028.png,5
a00029.png,8
a00030.png,9
a00031.png,7
a00032.png,2
a00033.png,3
a00034.png,1
a00035.png,6
a00036.png,9
a00037.png,7
a00038.png,0
a00039.png,4
a00040.png,9
a00041.png,5
a00042.png,1
a00043.png,8
a00044.png,1
a00045.png,1
a00046.png,4
a00047.png,7
a00048.png,5
a00049.png,1
a00050.png,1
a00051.png,0
a00052.png,3
a00053.png,7
a00054.png,9
a00055.png,6
a00056.png,6
a00057.png,9
a00058.png,3
a00059.png,2
a00060.png,3
a00061.png,7
a00062.png,5
a00063.png,7
a00064.png,2
a00065.png,5
a00066.png,5
a00067.png,1
a00068.png,1
a00069.png,2
a00070.png,3
a00071.png,2
a00072.png,4
a00073.png,5
a00074.png,1
a00075.png,2
a00076.png,5
a00077.png,4
a00078.png,8
a00079.png,0
a00080.png,4
a00081.png,7
a00082.png,4
a00083.png,8
a00084.png,7
a00085.png,8
a00086.png,0
a00087.png,5
a00088.png,4
a00089.png,0
a00090.png,4
a00091.png,3
a00092.png,1
a00093.png,2
a00094.png,6
a00095.png,6
a00096.png,8
a00097.png,5
a00098.png,6
a00099.png,1
a00100.png,4
a00101.png,6
a00102.png,3
a00103.png,3
a00104.png,7
a00105.png,8
a00106.png,7
a00107.png,7
a00108.png,6
a00109.png,4
a00110.png,3
a00111.png,2
a00112.png,9
a00113.png,8
a00114.png,8
a00115.png,8
a00116.png,1
a00117.png,6
a00118.png,8
a00119.png,9
a00120.png,7
a00121.png,9
a00122.png,8
a00123.png,2
a00124.png,8
a00125.png,1
a00126.png,9
a00127.png,0
a00128.png,5
a00129.png,6
a00130.png,6
a00131.png,0
a00132.png,6
a00133.png,4
a00134.png,3
a00135.png,3
a00136.png,9
a00137.png,1
a00138.png,5
a00139.png,4
a00140.png,5
a00141.png,3
a00142.png,2
a00143.png,5
a00144.png,3
a00145.png,7
a00146.png,2
a00147.png,8
a00148.png,0
a00149.png,3
a00150.png,7
a00151.png,8
a00152.png,2
a00153.png,0
a00154.png,0
a00155.png,8
a00156.png,9
a00157.png,8
a00158.png,1
a00159.png,3
a00160.png,0
a00161.png,3
a00162.png,9
a00163.png,4
a00164.png,3
a00165.png,5
a00166.png,9
a00167.png,9
a00168.png,9
a00169.png,4
a00170.png,1
a00171.png,4
a00172.png,0
a00173.png,1
a00174.png,4
a00175.png,9
a00176.png,8
a00177.png,8
a00178.png,4
a00179.png,6
a00180.png,1
a00181.png,3
a00182.png,8
a00183.png,3
a00184.png,3
a00185.png,2
a00186.png,0
a00187.png,2
a00188.png,6
a00189.png,6
a00190.png,1
a00191.png,5
a00192.png,0
a00193.png,1
a00194.png,3
a00195.png,9
a00196.png,6
a00197.png,2
a00198.png,0
a00199.png,5
